BKIndex;Flag;FKS;AP;BGrp;BFeld;Sortierung;Status;Beschreibung;Beschreibung_W;geaendert;Beschreibung_MW;BAKLALT;BAGRALT;BAKL;BAGR;Ebene1;Ebene2;Ebene3;Flag_APOBK
10;3;262;01;O;OH;10;Ausgelaufen;Holzbearbeitungsmechaniker - Sägeindustrie;Holzbearbeitungsmechanikerin - Sägeindustrie;2013-01-22 09:42:20;Holzbearbeitungsmechaniker/-in - Sägeindustrie;18;1812;*****;********;**;**;**;1
10;1;263;00;O;OH;10;********************;Holzbildhauer;Holzbildhauerin;2006-01-13 11:55:42;Holzbildhauer/-in;18;1852;*****;9331202;OZ;**;A3;1
10;1;264;00;O;OH;10;********************;Holzblasinstrumentenmacher;Holzblasinstrumentenmacherin;2006-01-13 11:55:49;Holzblasinstrumentenmacher/-in;30;3056;*****;9362201;OZ;**;A3;1
10;1;265;10;T;HT;10;********************;Holzmechaniker - Bauelemente, Holzpackmittel und Rahmen;Holzmechanikerin - Bauelemente, Holzpackmittel und Rahmen;2011-05-05 09:45:33;Holzmechaniker/-in - Bauelemente, Holzpackmittel und Rahmen;50;5052;*****;2234206;TN;**;A3;1
10;3;265;08;T;HT;10;Ausgelaufen;Holzmechaniker - Bauteile- und Bauzubehörindustrie;Holzmechanikerin - Bauteile- und Bauzubehörindustrie;2013-01-25 09:00:46;Holzmechaniker/-in - Bauteile- und Bauzubehörindustrie;50;5052;*****;2234206;**;**;**;1
10;3;265;06;T;HT;10;Ausgelaufen;Holzmechaniker - Bauzubehörindustrie;Holzmechanikerin - Bauzubehörindustrie;2013-01-25 09:00:59;Holzmechaniker/-in - Bauzubehörindustrie;50;5052;*****;2234206;**;**;**;1
10;3;265;02;T;HT;10;Ausgelaufen;Holzmechaniker - Holzpackmittel und Palettenindustrie;Holzmechanikerin - Holzpackmittel und Palettenindustrie;2014-01-28 08:13:35;Holzmechaniker/-in - Holzpackmittel und Palettenindustrie;50;5054;*****;2234206;**;**;**;1
10;3;265;01;T;HT;10;Ausgelaufen;Holzmechaniker - Industrien des Innenausbaus und des Ladenbaus;Holzmechanikerin - Industrien des Innenausbaus und des Ladenbaus;2014-01-28 08:13:30;Holzmechaniker/-in - Industrien des Innenausbaus und des Ladenbaus;50;5051;*****;2234207;**;**;**;1
10;3;265;03;T;HT;10;Ausgelaufen;Holzmechaniker - Leisten- und Rahmenindustrie;Holzmechanikerin - Leisten- und Rahmenindustrie;2014-01-28 08:13:38;Holzmechaniker/-in - Leisten- und Rahmenindustrie;50;5055;*****;2234207;**;**;**;1
10;3;265;04;T;HT;10;Ausgelaufen;Holzmechaniker - Möbel- und Gehäuseindustrie;Holzmechanikerin - Möbel- und Gehäuseindustrie;2014-01-28 08:13:41;Holzmechaniker/-in - Möbel- und Gehäuseindustrie;50;5051;*****;2234207;**;**;**;1
10;3;265;09;T;HT;10;Ausgelaufen;Holzmechaniker - Möbel- und Innenausbauindustrie;Holzmechanikerin - Möbel- und Innenausbauindustrie;2014-01-28 08:13:56;Holzmechaniker/-in - Möbel- und Innenausbauindustrie;50;5051;*****;2234207;**;**;**;1
10;1;265;11;T;HT;10;********************;Holzmechaniker - Möbelbau und Innenausbau;Holzmechanikerin - Möbelbau und Innenausbau;2011-05-05 09:11:59;Holzmechaniker/-in - Möbelbau und Innenausbau;50;5051;*****;2234207;TN;**;A3;1
10;3;265;07;T;HT;10;Ausgelaufen;Holzmechaniker - Parkettindustrie;Holzmechanikerin - Parkettindustrie;2013-01-25 09:02:57;Holzmechaniker/-in - Parkettindustrie;50;5056;*****;2234207;**;**;**;1
10;3;265;05;T;HT;10;Ausgelaufen;Holzmechaniker - Sitzmöbel- und Gestellindustrie;Holzmechanikerin - Sitzmöbel- und Gestellindustrie;2014-01-28 08:13:47;Holzmechaniker/-in - Sitzmöbel- und Gestellindustrie;50;5053;*****;2234207;**;**;**;1
10;1;266;00;O;OH;10;********************;Holzspielzeugmacher;Holzspielzeugmacherin;2006-01-13 11:56:44;Holzspielzeugmacher/-in;18;1855;*****;9333204;OZ;**;A3;1
10;1;267;00;T;TC;10;********************;Hörakustiker;Hörakustikerin;2019-04-25 10:37:39;Hörakustiker/-in;31;3153;*****;8253201;TN;**;A3;1
10;1;268;00;E;EH;10;********************;Hotelfachmann;Hotelfachfrau;2006-01-13 11:57:00;Hotelfachmann/-frau;91;9141;*****;6322201;EH;**;A3;1
10;1;269;00;E;EH;10;********************;Hotelkaufmann;Hotelkauffrau;2006-01-13 11:57:08;Hotelkaufmann/-frau;91;9140;*****;6321202;EH;**;A3;1
10;3;270;00;O;OH;10;Ausgelaufen;Hut- u. Mützenmacher;Hut- u. Mützenmacherin;2015-11-26 11:14:15;Hut- u. Mützenmacher/-in;35;3541;*****;2822218;**;**;**;1
10;1;554;00;W;WV;10;********************;Immobilienkaufmann;Immobilienkauffrau;2006-07-12 09:34:42;Immobilienkaufmann/-frau;70;7045;*****;6131202;WV;**;A3;1
10;1;586;01;T;ET;10;********************;Industrieelektriker - Betriebstechnik;Industrieelektrikerin - Betriebstechnik;2009-09-07 10:13:45;Industrieelektriker/-in - Betriebstechnik;31;3100;*****;2625208;TN;**;A2;1
10;1;586;02;T;ET;10;********************;Industrieelektriker - Geräte und Systeme;Industrieelektrikerin - Geräte und Systeme;2009-09-07 10:14:19;Industrieelektriker/-in - Geräte und Systeme;31;3100;*****;2631219;TN;**;A2;1
10;3;271;01;T;ET;10;Ausgelaufen;Industrieelektroniker - Gerätetechnik;Industrieelektronikerin - Gerätetechnik;2015-11-26 10:19:01;Industrieelektroniker/-in - Gerätetechnik;31;3163;*****;2631211;**;**;**;1
10;3;271;02;T;ET;10;Ausgelaufen;Industrieelektroniker - Produktionstechnik;Industrieelektronikerin - Produktionstechnik;2015-11-26 08:35:39;Industrieelektroniker/-in - Produktionstechnik;31;3162;*****;2631211;**;**;**;1
10;3;273;01;T;MT;10;Ausgelaufen;Industrieglasfertiger - Maschinenbautechnik;Industrieglasfertigerin - Maschinenbautechnik;2013-01-22 09:43:43;Industrieglasfertiger/-in - Maschinenbautechnik;13;1310;*****;********;**;**;**;1
10;3;273;02;T;MT;10;Ausgelaufen;Industrieglasfertiger - Meß-, Steuer-, Regeltechnik;Industrieglasfertigerin - Meß-, Steuer-, Regeltechnik;2013-01-22 09:43:53;Industrieglasfertiger/-in - Meß-, Steuer-, Regeltechnik;13;1310;*****;********;**;**;**;1
10;3;273;03;T;MT;10;Ausgelaufen;Industrieglasfertiger - Weiterverarbeitung u. Veredlung;Industrieglasfertigerin - Weiterverarbeitung u. Veredlung;2013-01-22 09:44:04;Industrieglasfertiger/-in - Weiterverarbeitung u. Veredlung;13;1350;*****;********;**;**;**;1
10;1;274;00;O;OH;10;********************;Industrie-Isolierer;Industrie-Isoliererin;2013-01-21 12:21:52;Industrie-Isolierer/-in;48;4822;*****;3331201;TN;**;A3;1
10;1;275;00;W;WV;10;********************;Industriekaufmann;Industriekauffrau;2006-01-13 11:58:50;Industriekaufmann/-frau;78;7851;*****;7130202;WV;**;A3;1
10;3;272;00;O;OH;10;Ausgelaufen;Industriekeramiker;Industriekeramikerin;2015-11-25 10:03:25;Industriekeramiker/-in;12;1211;*****;2141202;**;**;**;1
10;1;272;03;O;OH;10;********************;Industriekeramiker - Anlagentechnik;Industriekeramikerin - Anlagentechnik;2006-01-19 10:30:44;Industriekeramiker/-in - Anlagentechnik;12;1211;*****;2141202;TN;**;A3;1
10;1;272;04;O;OH;10;********************;Industriekeramiker - Dekorationstechnik;Industriekeramikerin - Dekorationstechnik;2006-01-19 10:30:51;Industriekeramiker/-in - Dekorationstechnik;12;1216;*****;9342205;TN;**;A3;1
10;3;272;01;O;OH;10;Ausgelaufen;Industriekeramiker - Formgebung;Industriekeramikerin - Formgebung;2015-11-25 10:10:46;Industriekeramiker/-in - Formgebung;12;1211;*****;2141202;**;**;**;1
10;3;272;02;O;OH;10;Ausgelaufen;Industriekeramiker - Mechanik;Industriekeramikerin - Mechanik;2015-11-25 10:11:22;Industriekeramiker/-in - Mechanik;12;1211;*****;2141202;**;**;**;1
10;1;272;05;O;OH;10;********************;Industriekeramiker - Modelltechnik;Industriekeramikerin - Modelltechnik;2006-01-19 10:30:57;Industriekeramiker/-in - Modelltechnik;12;1212;*****;2142202;TN;**;A3;1
10;1;272;06;O;OH;10;********************;Industriekeramiker - Verfahrenstechnik;Industriekeramikerin - Verfahrenstechnik;2014-04-03 08:51:46;Industriekeramiker/-in - Verfahrenstechnik;12;1211;*****;2142205;TN;**;A3;1
10;3;276;00;T;MT;10;Ausgelaufen;Industriemechaniker;Industriemechanikerin;2020-04-02 21:35:53;Industriemechaniker/-in;27;2700;*****;2510204;TN;**;A4;1
10;3;276;01;T;MT;10;Ausgelaufen;Industriemechaniker - Betriebstechnik;Industriemechanikerin - Betriebstechnik;2015-11-26 08:26:34;Industriemechaniker/-in - Betriebstechnik;27;2740;*****;2510204;**;**;**;1
10;3;276;02;T;MT;10;Ausgelaufen;Industriemechaniker - Geräte- u. Feinwerktechnik;Industriemechanikerin - Geräte- u. Feinwerktechnik;2015-11-26 08:23:16;Industriemechaniker/-in - Geräte- u. Feinwerktechnik;30;3000;*****;2510204;**;**;**;1
10;3;276;03;T;MT;10;Ausgelaufen;Industriemechaniker - Maschinen- u. Systemtechnik;Industriemechanikerin - Maschinen- u. Systemtechnik;2015-11-26 08:26:52;Industriemechaniker/-in - Maschinen- u. Systemtechnik;27;2730;*****;2510204;**;**;**;1
10;3;276;04;T;MT;10;Ausgelaufen;Industriemechaniker - Produktionstechnik;Industriemechanikerin - Produktionstechnik;2015-11-26 07:52:53;Industriemechaniker/-in - Produktionstechnik;27;2760;*****;2510204;**;**;**;1
10;1;277;00;O;OH;10;Ausgelaufen;Informatikkaufmann;Informatikkauffrau;2020-05-07 21:58:19;Informatikkaufmann/-frau;77;7791;*****;4311204;WV;**;A3;1
10;3;279;00;O;OH;10;Ausgelaufen;Informations- und Telekommunikationssystem - Elektroniker;Informations- und Telekommunikationssystem - Elektronikerin;2020-04-02 21:36:10;Informations- und Telekommunikationssystem - Elektroniker/-in;31;3171;*****;2631223;TN;**;A3;1
10;1;280;00;O;OH;10;********************;Informations- und Telekommunikationssystem - Kaufmann;Informations- und Telekommunikationssystem - Kauffrau;2006-01-13 12:04:42;Informations- und Telekommunikationssystem - Kaufmann/-frau;77;7791;*****;4323302;WV;**;A3;1
10;1;496;00;T;ET;10;********************;Informationselektroniker;Informationselektronikerin;2006-01-13 12:04:49;Informationselektroniker/-in;31;3171;*****;2631222;TN;**;A4;1
10;3;281;00;O;OH;10;Ausgelaufen;Informationstechniker;Informationstechnikerin;2013-01-22 09:44:56;Informationstechniker/-in;62;6223;*****;2631210;**;**;**;1
10;1;514;00;O;OH;10;********************;Investmentfondskaufmann;Investmentfondskauffrau;2006-01-13 12:05:26;Investmentfondskaufmann/-frau;69;6913;*****;7212201;WV;**;A3;1
10;3;282;00;T;BT;10;Ausgelaufen;Isolierer im Bereich der Industrie;Isoliererin im Bereich der Industrie;2015-11-26 11:31:05;Isolierer/-in im Bereich der Industrie;48;4822;*****;3331201;**;**;**;1
10;1;283;00;O;OH;10;********************;Isolierfacharbeiter;Isolierfacharbeiterin;2006-01-13 12:05:49;Isolierfacharbeiter/-in;48;4822;*****;3331204;TN;**;A2;1
10;3;284;00;T;BT;10;Ausgelaufen;Isoliermonteur;Isoliermonteurin;2015-11-26 11:31:45;Isoliermonteur/-in;48;4823;*****;3331206;**;**;**;1
10;3;285;00;W;WV;10;Ausgelaufen;Justizangestellter;Justizangestellte;2015-11-26 14:28:49;Justizangestellte/-r;78;7871;*****;7325203;**;**;**;1
10;1;286;00;O;OH;10;********************;Justizfachangestellter;Justizfachangestellte;2006-01-13 12:06:27;Justizfachangestellte/-r;78;7871;*****;7325203;WV;**;A3;1
10;3;287;00;O;OH;10;Ausgelaufen;Kabeljungwerker;Kabeljungwerkerin;2016-01-29 15:20:47;Kabeljungwerker/-in;21;2125;*****;2420216;**;**;**;1
10;3;288;00;O;OH;10;Ausgelaufen;Kachelofen- u. Luftheizungsbauer;Kachelofen- u. Luftheizungsbauerin;2015-11-26 11:36:43;Kachelofen- u. Luftheizungsbauer/-in;48;4840;*****;3422203;**;**;**;1
10;3;289;00;T;MT;10;Ausgelaufen;Kälteanlagenbauer;Kälteanlagenbauerin;2015-11-26 11:37:05;Kälteanlagenbauer/-in;26;2661;*****;3423202;**;**;**;1
10;1;290;00;T;BT;10;********************;Kanalbauer;Kanalbauerin;2006-01-13 12:06:52;Kanalbauer/-in;46;4663;*****;3225201;TN;**;A3;1
10;3;291;01;T;MT;10;Ausgelaufen;Karosserie- u. Fahrzeugbauer - Fahrzeugbau;Karosserie- u. Fahrzeugbauerin - Fahrzeugbau;2015-11-26 08:30:21;Karosserie- u. Fahrzeugbauer/-in - Fahrzeugbau;28;2871;*****;2521208;**;**;**;1
10;3;291;02;T;MT;10;Ausgelaufen;Karosserie- u. Fahrzeugbauer - Karosseriebau;Karosserie- u. Fahrzeugbauerin - Karosseriebau;2015-11-26 08:30:38;Karosserie- u. Fahrzeugbauer/-in - Karosseriebau;28;2872;*****;2521208;**;**;**;1
10;3;521;03;T;MT;10;Ausgelaufen;Karosserie- und Fahrzeugbaumechaniker - Fahrzeugbautechnik;Karosserie- und Fahrzeugbaumechanikerin - Fahrzeugbautechnik;2020-03-06 15:20:16;Karosserie- und Fahrzeugbaumechaniker/-in - Fahrzeugbautechnik;28;2871;*****;2521209;**;**;**;1
10;3;521;02;T;MT;10;Ausgelaufen;Karosserie- und Fahrzeugbaumechaniker - Karosseriebautechnik;Karosserie- und Fahrzeugbaumechanikerin - Karosseriebautechnik;2020-02-04 10:57:25;Karosserie- und Fahrzeugbaumechaniker/-in - Karosseriebautechnik;28;2872;*****;2521210;**;**;**;1
10;1;521;01;T;MT;10;********************;Karosserie- und Fahrzeugbaumechaniker - Karosserieinstandhaltungstechnik;Karosserie- und Fahrzeugbaumechanikerin - Karosserieinstandhaltungstechnik;2006-01-13 12:07:31;Karosserie- und Fahrzeugbaumechaniker/-in - Karosserieinstandhaltungstechnik;28;2872;*****;2521211;TN;**;A4;1
10;3;292;00;O;OH;10;Ausgelaufen;Kartograf;Kartografin;2015-11-26 11:22:00;Kartograf/-in;64;6425;*****;3122202;**;**;**;1
10;1;293;00;O;OH;10;********************;Kaufmann für audiovisuelle Medien;Kauffrau für audiovisuelle Medien;2006-01-13 12:07:46;Kaufmann/-frau für audiovisuelle Medien;70;7034;*****;9230201;WV;**;A3;1
10;3;294;00;O;OH;10;Ausgelaufen;Kaufmann für Bürokommunikation;Kauffrau für Bürokommunikation;2018-03-05 14:10:16;Kaufmann/-frau für Bürokommunikation;78;7803;*****;7140222;**;**;**;1
10;1;555;00;W;WV;10;********************;Kaufmann für Dialogmarketing;Kauffrau für Dialogmarketing;2006-07-12 09:36:12;Kaufmann/-frau für Dialogmarketing;75;7550;*****;9212201;WV;**;A3;1
10;3;295;00;W;WV;10;Ausgelaufen;Kaufmann für informationstechnische Systeme;Kauffrau für informationstechnische Systeme;2013-01-22 09:52:08;Kaufmann/-frau für informationstechnische Systeme;77;7791;*****;4323302;**;**;**;1
10;1;542;00;W;WV;10;********************;Kaufmann für Kurier-, Express- und Postdienstleistungen;Kauffrau für Kurier-, Express- und Postdienstleistungen;2006-01-19 10:32:31;Kaufmann/-frau für Kurier-, Express- und Postdienstleistungen;70;7010;*****;5166201;WV;**;A3;1
10;1;563;00;W;WV;10;********************;Kaufmann für Marketingkommunikation;Kauffrau für Marketingkommunikation;2006-07-12 09:36:29;Kaufmann/-frau für Marketingkommunikation;70;7031;*****;9211201;WV;**;A3;1
10;1;537;00;W;WV;10;********************;Kaufmann für Spedition und Logistikdienstleistung;Kauffrau für Spedition und Logistikdienstleistung;2006-01-13 14:27:19;Kaufmann/-frau für Spedition und Logistikdienstleistung;70;7011;*****;5162201;WV;**;A3;1
10;1;543;00;W;WV;10;********************;Kaufmann für Tourismus und Freizeit;Kauffrau für Tourismus und Freizeit;2006-01-19 10:32:48;Kaufmann/-frau für Tourismus und Freizeit;70;7021;*****;6311202;WV;**;A3;1
10;1;296;00;O;OH;10;********************;Kaufmann für Verkehrsservice;Kauffrau für Verkehrsservice;2006-07-25 14:01:07;Kaufmann/-frau für Verkehrsservice;70;7029;*****;5141201;WV;**;A3;1
10;1;556;02;W;WV;10;********************;Kaufmann für Versicherungen und Finanzen - Finanzberatung;Kauffrau für Versicherungen und Finanzen - Finanzberatung;2006-07-12 09:37:16;Kaufmann/-frau für Versicherungen und Finanzen - Finanzberatung;69;6950;*****;7212202;WV;**;A3;1
10;1;556;01;W;WV;10;********************;Kaufmann für Versicherungen und Finanzen - Versicherung;Kauffrau für Versicherungen und Finanzen - Versicherung;2006-07-12 09:37:36;Kaufmann/-frau für Versicherungen und Finanzen - Versicherung;69;6950;*****;7213202;WV;**;A3;1
10;1;297;00;W;WV;10;********************;Kaufmann im Einzelhandel;Kauffrau im Einzelhandel;2006-07-25 14:01:13;Kaufmann/-frau im Einzelhandel;67;6720;*****;6210204;WV;**;A3;1
10;1;298;00;W;WV;10;********************;Kaufmann im Eisenbahn- und Straßenverkehr;Kauffrau im Eisenbahn- und Straßenverkehr;2006-07-25 14:01:16;Kaufmann/-frau im Eisenbahn- und Straßenverkehr;70;7015;*****;5163201;WV;**;A3;1
10;1;500;00;O;OH;10;********************;Kaufmann im Gesundheitswesen;Kauffrau im Gesundheitswesen;2006-01-13 14:28:09;Kaufmann/-frau im Gesundheitswesen;69;6959;*****;7322202;WV;**;A3;1
10;3;299;00;W;WV;10;Ausgelaufen;Kaufmann im Groß- u. Außenhandel;Kauffrau im Groß- u. Außenhandel;2013-01-22 09:52:19;Kaufmann/-frau im Groß- u. Außenhandel;67;6711;*****;6121202;**;**;**;1
10;1;299;01;W;WV;10;********************;Kaufmann im Groß- und Außenhandel - Außenhandel;Kauffrau im Groß- und Außenhandel - Außenhandel;2006-10-10 14:26:27;Kaufmann/-frau im Groß- und Außenhandel - Außenhandel;67;6713;*****;6121203;WV;**;A3;1
10;1;299;02;W;WV;10;********************;Kaufmann im Groß- und Außenhandel - Großhandel;Kauffrau im Groß- und Außenhandel - Großhandel;2006-10-10 14:26:40;Kaufmann/-frau im Groß- und Außenhandel - Großhandel;67;6712;*****;6121204;WV;**;A3;1
10;3;300;00;W;WV;10;Ausgelaufen;Kaufmann in der Grundstücks- u. Wohnungswirtschaft;Kauffrau in der Grundstücks- u. Wohnungswirtschaft;2015-11-26 13:04:20;Kaufmann/-frau in der Grundstücks- u. Wohnungswirtschaft;70;7045;*****;6131202;**;**;**;1
10;3;301;00;W;WV;10;Ausgelaufen;Kaufmannsgehilfe im Hotel- u. Gaststättengewerbe;Kaufmannsgehilfin im Hotel- u. Gaststättengewerbe;2015-11-26 14:01:25;Kaufmannsgehilfe/-gehilfin im Hotel- u. Gaststättengewerbe;91;9140;*****;6321202;**;**;**;1
10;1;302;00;O;OH;10;********************;Keramiker;Keramikerin;2015-11-26 14:34:55;Keramiker/-in;12;1210;*****;9341201;TN;**;A3;1
10;3;302;02;O;OH;10;Ausgelaufen;Keramiker - Baukeramik;Keramikerin - Baukeramik;2015-11-26 14:35:15;Keramiker/-in - Baukeramik;12;1210;*****;9341201;**;**;**;1
10;3;302;03;O;OH;10;Ausgelaufen;Keramiker - Dekoration;Keramikerin- Dekoration;2015-11-26 14:37:26;Keramiker/-in - Dekoration;12;1210;*****;9341201;**;**;**;1
10;3;302;01;O;OH;10;Ausgelaufen;Keramiker - Scheibentöpferei;Keramikerin - Scheibentöpferei;2015-11-26 14:35:57;Keramiker/-in - Scheibentöpferei;12;1210;*****;9341201;**;**;**;1
10;3;303;00;O;OH;10;Ausgelaufen;Kerammodelleinrichter;Kerammodelleinrichterin;2015-11-25 10:12:11;Kerammodelleinrichter/-in;12;1212;*****;2142205;**;**;**;1
10;3;304;00;O;OH;10;Ausgelaufen;Kerammodelleur;Kerammodelleurin;2015-11-25 10:13:17;Kerammodelleur/-in;12;1212;*****;2142202;**;**;**;1
10;3;305;00;O;OH;10;Ausgelaufen;Klavier- u. Cembalobauer;Klavier- u. Cembalobauerin;2013-01-22 11:08:26;Klavier- u. Cembalobauer/-in;30;3051;*****;9364201;**;**;**;1
10;1;305;02;O;OH;10;********************;Klavier- und Cembalobauer - Cembalobau;Klavier- und Cembalobauerin - Cembalobau;2006-01-13 14:30:28;Klavier- und Cembalobauer/-in - Cembalobau;30;3051;*****;9364202;OZ;**;A4;1
10;1;305;01;O;OH;10;********************;Klavier- und Cembalobauer - Klavierbau;Klavier- und Cembalobauerin - Klavierbau;2006-01-13 14:30:32;Klavier- und Cembalobauer/-in - Klavierbau;30;3051;*****;9364203;OZ;**;A4;1
10;3;306;00;T;BT;10;Ausgelaufen;Klebeabdichter;Klebeabdichterin;2015-11-26 11:29:10;Klebeabdichter/-in;48;4825;*****;3323201;**;**;**;1
10;1;307;00;T;MT;10;********************;Klempner;Klempnerin;2006-01-13 14:31:02;Klempner/-in;26;2610;*****;3420201;TN;**;A4;1
10;1;308;00;E;EH;10;********************;Koch;Köchin;2006-01-13 14:31:07;Koch/Köchin;41;4110;*****;2930203;EH;**;A3;1
10;3;309;01;T;ET;10;Ausgelaufen;Kommunikationselektroniker - Funktechnik;Kommunikationselektronikerin - Funktechnik;2015-11-26 10:20:07;Kommunikationselektroniker/-in - Funktechnik;31;3172;*****;2631211;**;**;**;1
10;3;309;02;T;ET;10;Ausgelaufen;Kommunikationselektroniker - Informationstechnik;Kommunikationselektronikerin - Informationstechnik;2015-11-26 10:20:29;Kommunikationselektroniker/-in - Informationstechnik;31;3171;*****;2631210;**;**;**;1
10;3;309;03;T;ET;10;Ausgelaufen;Kommunikationselektroniker - Telekommunikationstechnik;Kommunikationselektronikerin - Telekommunikationstechnik;2015-11-26 10:20:51;Kommunikationselektroniker/-in - Telekommunikationstechnik;31;3121;*****;2631210;**;**;**;1
10;1;310;00;E;EH;10;********************;Konditor;Konditorin;2006-01-13 14:31:41;Konditor/-in;39;3920;*****;2922207;EH;**;A3;1
10;1;311;00;T;MT;10;********************;Konstruktionsmechaniker;Konstruktionsmechanikerin;2006-10-10 14:27:20;Konstruktionsmechaniker/-in;25;2500;*****;2441206;TN;**;A4;1
10;3;311;01;T;MT;10;Ausgelaufen;Konstruktionsmechaniker - Ausrüstungstechnik;Konstruktionsmechanikerin - Ausrüstungstechnik;2015-11-26 08:27:09;Konstruktionsmechaniker/-in - Ausrüstungstechnik;25;2541;*****;2441206;**;**;**;1
10;3;311;02;T;MT;10;Ausgelaufen;Konstruktionsmechaniker - Feinblechbautechnik;Konstruktionsmechanikerin - Feinblechbautechnik;2015-11-26 11:33:25;Konstruktionsmechaniker/-in - Feinblechbautechnik;26;2650;*****;3420206;**;**;**;1
10;3;311;03;T;MT;10;Ausgelaufen;Konstruktionsmechaniker - Metall- u. Schiffbautechnik;Konstruktionsmechanikerin - Metall- u. Schiffbautechnik;2015-11-26 08:19:10;Konstruktionsmechaniker/-in - Metall- u. Schiffbautechnik;25;2550;*****;2441206;**;**;**;1
10;3;311;04;T;MT;10;Ausgelaufen;Konstruktionsmechaniker - Schweißtechnik;Konstruktionsmechanikerin - Schweißtechnik;2015-11-26 08:21:16;Konstruktionsmechaniker/-in - Schweißtechnik;24;2412;*****;2441206;**;**;**;1
10;3;312;00;O;OH;10;Ausgelaufen;Korbmacher;Korbmacherin;2015-11-25 10:28:26;Korbmacher/-in;18;1858;*****;2235205;**;**;**;1
10;3;312;02;O;OH;10;Ausgelaufen;Korbmacher - Korbmöbelbau;Korbmacherin - Korbmöbelbau;2015-11-25 10:28:44;Korbmacher/-in - Korbmöbelbau;18;1858;*****;2235205;**;**;**;1
10;3;312;01;O;OH;10;Ausgelaufen;Korbmacher - Korbwarenherstellung;Korbmacherin - Korbwarenherstellung;2015-11-25 10:28:59;Korbmacher/-in - Korbwarenherstellung;18;1858;*****;2235205;**;**;**;1
10;3;515;00;O;OH;10;Ausgelaufen;Kosmetiker;Kosmetikerin;2020-04-02 21:36:42;Kosmetiker/-in;90;9020;*****;8232201;GS;**;A3;1
10;3;313;00;T;MT;10;Ausgelaufen;Kraftfahrzeugelektriker;Kraftfahrzeugelektrikerin;2015-11-26 08:32:53;Kraftfahrzeugelektriker/-in;31;3181;*****;2521216;**;**;**;1
10;3;314;01;T;MT;10;Ausgelaufen;Kraftfahrzeugmechaniker - Kraftradinstandhaltung;Kraftfahrzeugmechanikerin - Kraftradinstandhaltung;2013-01-22 11:10:28;Kraftfahrzeugmechaniker/-in - Kraftradinstandhaltung;28;2810;*****;********;**;**;**;1
10;3;314;02;T;MT;10;Ausgelaufen;Kraftfahrzeugmechaniker - Nutzkraftwageninstandhaltung;Kraftfahrzeugmechanikerin - Nutzkraftwageninstandhaltung;2013-01-22 11:10:35;Kraftfahrzeugmechaniker/-in - Nutzkraftwageninstandhaltung;28;2810;*****;********;**;**;**;1
10;3;314;03;T;MT;10;Ausgelaufen;Kraftfahrzeugmechaniker - Personenkraftwageninstandhaltung;Kraftfahrzeugmechanikerin - Personenkraftwageninstandhaltung;2013-01-22 11:10:43;Kraftfahrzeugmechaniker/-in - Personenkraftwageninstandhaltung;28;2810;*****;********;**;**;**;1
10;1;516;00;T;FT;10;Ausgelaufen;Kraftfahrzeugmechatroniker;Kraftfahrzeugmechatronikerin;2020-04-02 11:13:22;Kraftfahrzeugmechatroniker/-in;28;2810;*****;2521216;TN;**;A4;1
10;3;536;00;T;FT;10;Ausgelaufen;Kraftfahrzeugservicemechaniker;Kraftfahrzeugservicemechanikerin;2016-01-29 15:22:03;Kraftfahrzeugservicemechaniker/-in;28;2810;*****;2521219;**;**;**;1
10;3;315;00;T;TB;10;Ausgelaufen;Krawattennäher;Krawattennäherin;2015-11-26 11:14:31;Krawattennäher/-in;35;3544;*****;2822215;**;**;**;1
10;3;316;00;T;TB;10;Ausgelaufen;Kunststoff- u. Schwergewebekonfektionär;Kunststoff- u. Schwergewebekonfektionärin;2015-11-26 11:15:45;Kunststoff- u. Schwergewebekonfektionär/-in;35;3582;*****;2823205;**;**;**;1
10;3;317;00;T;CP;10;Ausgelaufen;Kunststoff-Formgeber;Kunststoff-Formgeberin;2015-11-25 10:14:07;Kunststoff-Formgeber/-in;15;1520;*****;2210204;**;**;**;1
10;3;318;00;T;MT;10;Ausgelaufen;Kunststoffschlosser;Kunststoffschlosserin;2015-11-25 10:14:27;Kunststoffschlosser/-in;15;1530;*****;2210204;**;**;**;1
10;3;319;00;T;MT;10;Ausgelaufen;Kupferschmied;Kupferschmiedin;2015-11-26 11:47:51;Kupferschmied/-in;25;2522;*****;3434203;**;**;**;1
10;1;320;00;O;OH;10;********************;Kürschner;Kürschnerin;2006-01-13 14:35:45;Kürschner/-in;37;3783;*****;2834201;OZ;**;A3;1
10;3;321;01;G;FR;10;Ausgelaufen;Lackierer - Holz und Metall;Lackiererin - Holz und Metall;2015-11-25 10:19:32;Lackierer/-in - Holz und Metall;51;5120;*****;2220203;**;**;**;1
10;3;321;02;G;FR;10;Ausgelaufen;Lackierer - Oberflächentechnik;Lackiererin - Oberflächentechnik;2013-01-22 11:11:41;Lackierer/-in - Oberflächentechnik;51;5120;*****;********;**;**;**;1
10;1;322;00;T;CP;10;********************;Lacklaborant;Lacklaborantin;2006-01-13 14:36:21;Lacklaborant/-in;63;6331;*****;2222201;TN;**;A4;1
10;3;323;00;T;MT;10;Ausgelaufen;Landmaschinenmechaniker;Landmaschinenmechanikerin;2015-11-26 08:34:10;Landmaschinenmechaniker/-in;28;2821;*****;2522203;**;**;**;1
